Capture ID,Date,Avg surface (px^2),Avg surface (mm^2),Avg weight,Bcmk len
13,2023-08-08 13:36:12.229876,731.071428571429,150.363568383838,320.721686980807,88.2
14,2023-08-08 13:36:13.092954,734.9,150.026266462567,320.070694272755,88.53
15,2023-08-08 13:36:14.048895,767,160.140898936425,339.591934947301,87.54
16,2023-08-08 13:36:15.082078,709.5,148.101712947908,316.356305989463,87.55
17,2023-08-08 13:36:16.078216,690,28.1603917967554,84.869556167738,198
19,2023-08-08 13:36:18.132851,799,37.7599243856333,103.396654064272,184
21,2023-08-08 13:36:20.218553,729,37.0337433377879,101.995124641931,177.47
22,2023-08-08 13:36:21.759891,804.214285714286,165.670134895554,350.263360348418,88.13
23,2023-08-08 13:36:22.222654,761.458333333333,156.258884418445,332.0996469276,88.3
24,2023-08-08 13:36:23.116457,845.25,176.882498541413,371.903222184926,87.44
25,2023-08-08 13:36:24.166323,782.9375,163.917557123574,346.880885248498,87.42
26,2023-08-08 13:36:25.052788,818.5,171.206291606358,360.948142800271,87.46
27,2023-08-08 13:36:26.213093,743.285714285714,61.5525667852152,149.316453895465,139
28,2023-08-08 13:36:27.100500,809.166666666667,169.099319727891,356.88168707483,87.5
29,2023-08-08 13:36:28.410483,741.9,64.1782006920415,154.38392733564,136
30,2023-08-08 13:36:29.198804,862.5,184.735372402214,387.059268736273,86.43
31,2023-08-08 13:36:30.185686,855.5,183.024249482911,383.756801502018,86.48
32,2023-08-08 13:36:31.208792,598,127.227978921856,276.069999319181,86.72
33,2023-08-08 13:36:32.303283,798.5,170.553548120537,359.688347872636,86.55
34,2023-08-08 13:36:33.131053,665.75,141.96941702602,304.520974860218,86.62
35,2023-08-08 13:36:34.185254,977,208.728025406708,433.365089034947,86.54
36,2023-08-08 13:36:35.150840,745.25,159.106210587638,337.594986434141,86.57
38,2023-08-08 13:36:37.233337,846.166666666667,180.943789189972,379.741513136646,86.5
39,2023-08-08 13:36:38.176023,805.666666666667,139.872685185185,300.474282407407,96
40,2023-08-08 13:36:43.766674,745.8,159.444571478751,338.248022953989,86.51
41,2023-08-08 13:36:44.782919,827.071428571429,176.574573479106,371.308926814675,86.57
42,2023-08-08 13:36:45.332052,855.055555555555,182.760060940761,383.246917615669,86.52
43,2023-08-08 13:36:46.867060,700.5,149.656071440532,319.356217880226,86.54
44,2023-08-08 13:36:47.322309,764.3125,163.932516534107,346.909756910827,86.37
45,2023-08-08 13:36:48.111582,656,135.537190082645,292.106776859504,88
46,2023-08-08 13:36:49.113047,877.8125,189.899945916712,397.026895619254,86
47,2023-08-08 13:36:50.172916,848.961538461538,183.658526438407,384.980956026126,86
48,2023-08-08 13:36:51.496503,874.4,185.349110900834,388.24378403861,86.88
49,2023-08-08 13:36:52.181519,846.657894736842,7.85840080176653,45.6867135474094,415.19
50,2023-08-08 13:36:53.115611,821.6,11.5065999089668,52.7277378243059,338
51,2023-08-08 13:36:54.111921,762.4,160.02023130915,339.359046426659,87.31
52,2023-08-08 13:36:55.150986,820.1,172.367714550784,363.189689083012,87.25
53,2023-08-08 13:36:56.227462,826,6.75502368494491,43.5571957119437,442.32
54,2023-08-08 13:36:57.115177,777.45,163.591027691272,346.250683444154,87.2
55,2023-08-08 13:36:58.159744,816,172.810730529832,364.044709922576,86.92
56,2023-08-08 13:36:59.155464,765.083333333333,163.718518506828,346.496740718179,86.47
57,2023-08-08 13:37:00.204527,790.166666666667,169.086046452646,356.856069653608,86.47
58,2023-08-08 13:37:01.201998,740.5,158.201742900376,335.849363797726,86.54
59,2023-08-08 13:37:02.210059,733,156.925659345677,333.386522537157,86.45
60,2023-08-08 13:37:03.145724,815.416666666667,172.528364121492,363.499742754479,86.96
62,2023-08-08 13:37:05.259100,854.666666666667,179.221839341452,376.418149929003,87.35
63,2023-08-08 13:37:06.195337,846,178.260546858477,374.56285543686,87.14
64,2023-08-08 13:37:07.488415,729.75,154.722845282628,329.135091395471,86.87
65,2023-08-08 13:37:08.506303,858.333333333333,181.98530391813,381.751636561991,86.87
66,2023-08-08 13:37:09.563552,779.1,166.64081953339,352.136781699444,86.49
67,2023-08-08 13:37:10.228143,776.5,166.084708468332,351.063487343881,86.49
68,2023-08-08 13:37:11.187822,774.5,165.65693072598,350.237876301141,86.49
70,2023-08-08 13:37:13.183014,804,169.410732475432,357.482713677583,87.14
71,2023-08-08 13:37:14.229931,812.9,170.854426482541,360.269043111304,87.25
72,2023-08-08 13:37:15.448753,803.125,168.375103986368,355.48395069369,87.36
73,2023-08-08 13:37:16.244131,899.25,188.70046704546,394.711901397737,87.32
74,2023-08-08 13:37:17.579362,902.2,189.884471468336,396.997029933889,87.19
75,2023-08-08 13:37:18.186772,849.1,178.831648673632,375.66508194011,87.16
76,2023-08-08 13:37:19.247369,827.5,175.447967757964,369.134577772871,86.87
1,2023-08-08 13:38:42.275958,917,29.2384607934431,86.9502293313451,224.01
2,2023-08-08 13:38:50.169639,890.25,34.1702461602799,96.4685750893402,204.17
